City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Belmonte,BR,-15.8631,-38.8828,79.5,80,20,6.71,few clouds
206,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,60,75,15.66,broken clouds
207,Hervey Bay,AU,-25.2986,152.8535,69.03,81,100,5.99,overcast clouds
208,Souillac,MU,-20.5167,57.5167,75.58,73,40,16.11,scattered clouds
209,Bati,ET,11.1833,40.0167,66.16,76,53,6.44,light rain
210,Antsohihy,MG,-14.8796,47.9875,73.36,88,91,5.26,overcast clouds
211,Partizanskoye,RU,55.5006,94.39,25.41,78,100,12.3,overcast clouds
212,Shu,KZ,43.5983,73.7614,57.6,87,100,7.23,overcast clouds
213,Saint-Pierre,RE,-21.3393,55.4781,74.88,76,40,18.41,scattered clouds
214,Buala,SB,-8.145,159.5921,81.34,81,94,6.17,light rain
215,Makakilo City,US,21.3469,-158.0858,79.12,65,100,14.97,overcast clouds
216,Iqaluit,CA,63.7506,-68.5145,22.73,79,100,13.8,light snow
217,Baghdad,IQ,33.3406,44.4009,64.31,63,40,3.44,scattered clouds
218,Gushikawa,JP,26.3544,127.8686,75.2,96,20,9.22,few clouds
219,Murwara,IN,23.85,80.4,85.3,15,17,3.24,few clouds
220,Chuy,UY,-33.6971,-53.4616,65.79,52,3,8.63,clear sky
221,Honiara,SB,-9.4333,159.95,80.46,77,75,3.29,broken clouds
222,Ormara,PK,25.2088,64.6357,80.69,77,0,15.7,clear sky
223,Vostok,RU,46.4856,135.8833,33.37,50,31,4.34,scattered clouds
224,Taihe,CN,30.8712,105.3845,62.56,68,99,2.48,overcast clouds
225,Auka,HN,14.9333,-83.8333,73.29,73,40,5.53,scattered clouds
226,Xai-Xai,MZ,-25.0519,33.6442,71.08,93,0,6.08,clear sky
227,Gumdag,TM,39.2061,54.5906,72.66,24,100,16.26,overcast clouds
228,Hofn,IS,64.2539,-15.2082,43.27,89,97,5.1,overcast clouds
229,Bentong,MY,3.5181,101.9079,74.19,98,100,0.29,overcast clouds
230,Soyo,AO,-6.1349,12.3689,78.33,91,76,6.62,broken clouds
231,Moron,AR,-34.6534,-58.6198,76.05,45,7,11.83,clear sky
232,Odienne,CI,9.51,-7.5692,85.59,36,35,4.32,scattered clouds
233,Castro,BR,-24.7911,-50.0119,66.25,80,0,4.52,clear sky
234,Marawi,PH,7.9986,124.2928,68.81,93,76,2.55,broken clouds
235,Fuyu,CN,45.1833,124.8167,48.83,42,7,7.63,clear sky
236,Iringa,TZ,-7.7667,35.7,57.76,96,98,4.94,overcast clouds
237,Upington,ZA,-28.4478,21.2561,50.38,50,0,6.91,clear sky
238,Nanortalik,GL,60.1432,-45.2371,37.63,90,98,2.82,overcast clouds
239,Prado,BR,-17.3411,-39.2208,79.2,86,1,8.32,clear sky
240,Pitimbu,BR,-7.4706,-34.8086,81.19,82,80,11.16,broken clouds
241,Tocopilla,CL,-22.092,-70.1979,68.79,66,23,5.37,few clouds
242,Yokadouma,CM,3.5167,15.05,77.04,71,99,2.8,overcast clouds
243,Nizhniy Kuranakh,RU,58.8353,125.4869,22.89,90,100,1.3,overcast clouds
244,Lata,PT,40.1629,-8.3327,50.11,94,88,1.1,overcast clouds
245,Slave Lake,CA,55.2834,-114.769,58.98,33,20,11.5,few clouds
246,Burnie,AU,-41.0667,145.9167,52.95,90,28,5.26,scattered clouds
247,Kushima,JP,31.4583,131.2333,66.83,94,90,3.33,overcast clouds
248,Veraval,IN,20.9,70.3667,81.14,68,3,11.34,clear sky
249,Ulaanbaatar,MN,47.9077,106.8832,35.73,75,75,11.18,light rain
250,Vikhorevka,RU,56.1201,101.1636,20.79,93,8,4.41,clear sky
251,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.09,90,93,2.71,overcast clouds
252,Klamath Falls,US,42.2249,-121.7817,63.48,31,0,3.0,clear sky
253,Solnechnyy,RU,50.7214,136.6319,21.92,89,12,2.24,few clouds
254,Ribeira Brava,PT,32.65,-17.0667,65.01,85,90,8.81,light rain
